lr,trialJobId,gamma_joao,reward
0.01,eNoQw,0.01,3.114509626861531
0.0001,RHsLz,0.1,3.121604238880291
0.01,yGWBn,0.1,3.1225080567228827
0.0001,SF2Io,0.01,3.1482900047987727
0.0001,Ivobp,1,3.239085342684846
0.0001,lOFmq,0.01,3.089549843513098
0.01,d6bWm,0.1,3.1058066930196784
0.01,o4pQq,1,3.148638569548231
0.01,oof4n,0.01,3.1868803869574753
0.001,aAv7q,1,3.1388615190929268
0.0001,J9Eru,0.1,3.857745748967173
0.001,TbW7f,0.1,3.105592111800023
0.001,nFx1E,0.01,3.1019509455585736
0.001,Zz75a,1,3.1313643639728173
0.001,fHIX0,0.1,3.108740594723368
0.001,XPZZ8,1,3.095796140591946
0.0001,TEWg6,0.01,3.1589185443957004
0.01,GGCY4,0.01,3.0609871285088084
0.001,XJgxh,0.1,3.116266955155461
0.0001,ZWznU,0.1,3.1257133933733092
0.0001,FFgcl,0.1,3.1427470774449215
0.001,ITrzk,0.01,3.10715425068049
0.01,rvTUq,0.01,3.096037530299253
0.01,XcMGK,0.01,3.09772243996729
0.01,dwKPk,1,3.1989009888024342
0.0001,GxX0f,0.01,3.1753205327653498
0.0001,tRWBO,1,3.181021534421909
0.001,Pe2SO,1,3.0818407931846212
0.01,vnEPe,1,3.1976590745639717
0.001,SMf0N,1,3.087512162603565
