intermediate,trialJobId,reward,lr,gamma_joao
[3.086274081088127],yGIOT,3.08627408108813,0.001,1
[3.098432028547246],Hvre1,3.09843202854725,0.001,1
[3.124826152273949],owN8a,3.12482615227395,0.001,0.1
[3.1348589988465005],jrCvr,3.1348589988465,0.001,0.1
[3.230091282661925],Ribg9,3.23009128266192,0.01,1
[3.239643360706086],aKvuZ,3.23964336070609,0.01,0.1
[3.250286787114245],glsDg,3.25028678711424,0.01,0.1
[3.2999313841474818],vSLtv,3.29993138414748,0.01,0.1
[3.3010270697005253],NRGLn,3.30102706970053,0.01,0.01
[3.343382622333283],PkhCa,3.34338262233328,0.0001,1
[3.3586865587437407],uuSla,3.35868655874374,0.0001,1
[3.3613816271436976],ffc06,3.3613816271437,0.0001,0.01
[4.078511202588994],KZhgd,4.07851120258899,0.0001,0.01
